year_month,country,currency,currency_name,avg_rate,min_rate,max_rate,data_points
2025_06,Indonesia,IDR,인도네시아 루피아,16320.0,16266.0,16374.0,21
2025_06,Korea,KRW,대한민국 원,1371.7333,1366.4,1377.6,21
2025_06,Poland,PLN,폴란드 즐로티,3.7025,3.6164,3.7565,20
2025_06,Vietnam,VND,베트남 동,24649.619,24642.0,24658.0,21
2025_05,China,CNY,중국 위안,7.1258,7.123,7.129,22
2025_05,Egypt,EGP,이집트 파운드,49.5973,49.56,49.64,22
2025_05,Indonesia,IDR,인도네시아 루피아,16247.5455,16196.0,16304.0,22
2025_05,Korea,KRW,대한민국 원,1379.6182,1374.4,1385.6,22
2025_05,Poland,PLN,폴란드 즐로티,3.7703,3.7344,3.8266,21
2025_05,Vietnam,VND,베트남 동,24579.4545,24572.0,24588.0,22
2025_04,China,CNY,중국 위안,7.1418,7.139,7.145,22
2025_04,Egypt,EGP,이집트 파운드,49.3473,49.31,49.39,22
2025_04,Indonesia,IDR,인도네시아 루피아,16177.5455,16126.0,16234.0,22
2025_04,Korea,KRW,대한민국 원,1394.6182,1389.4,1400.6,22
2025_04,Poland,PLN,폴란드 즐로티,3.8027,3.722,3.927,21
2025_04,Vietnam,VND,베트남 동,24499.4545,24492.0,24508.0,22
2025_03,China,CNY,중국 위안,7.1579,7.155,7.161,21
2025_03,Egypt,EGP,이집트 파운드,49.0981,49.06,49.14,21
2025_03,Indonesia,IDR,인도네시아 루피아,16010.0,15956.0,16064.0,21
2025_03,Korea,KRW,대한민국 원,1414.7333,1409.4,1420.6,21
2025_03,Poland,PLN,폴란드 즐로티,3.8702,3.8152,4.0112,21
2025_03,Vietnam,VND,베트남 동,24409.619,24402.0,24418.0,21
2025_02,China,CNY,중국 위안,7.172,7.169,7.175,20
2025_02,Egypt,EGP,이집트 파운드,48.75,48.71,48.79,20
2025_02,Indonesia,IDR,인도네시아 루피아,15917.3,15866.0,15974.0,20
2025_02,Korea,KRW,대한민국 원,1428.0,1422.4,1433.6,20
2025_02,Poland,PLN,폴란드 즐로티,4.0088,3.9434,4.1352,20
2025_02,Vietnam,VND,베트남 동,24320.0,24312.0,24328.0,20
2025_01,China,CNY,중국 위안,7.1848,7.182,7.188,23
2025_01,Egypt,EGP,이집트 파운드,48.4974,48.46,48.54,23
2025_01,Indonesia,IDR,인도네시아 루피아,15846.087,15796.0,15904.0,23
2025_01,Korea,KRW,대한민국 원,1434.6348,1429.4,1440.6,23
2025_01,Poland,PLN,폴란드 즐로티,4.1011,4.0124,4.1904,21
2025_01,Vietnam,VND,베트남 동,24249.4783,24242.0,24258.0,23
