date,year_month,country,currency,currency_name,rate,frequency,source
2025_05_20,2025_05,China,CNY,중국 위안,7.1275,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_21,2025_05,China,CNY,중국 위안,7.129,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_22,2025_05,China,CNY,중국 위안,7.123,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_23,2025_05,China,CNY,중국 위안,7.1245,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_26,2025_05,China,CNY,중국 위안,7.126,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_27,2025_05,China,CNY,중국 위안,7.1275,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_28,2025_05,China,CNY,중국 위안,7.129,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_29,2025_05,China,CNY,중국 위안,7.123,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_05_30,2025_05,China,CNY,중국 위안,7.1245,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_02,2025_06,China,CNY,중국 위안,7.112,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_03,2025_06,China,CNY,중국 위안,7.1135,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_04,2025_06,China,CNY,중국 위안,7.115,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_05,2025_06,China,CNY,중국 위안,7.1165,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_06,2025_06,China,CNY,중국 위안,7.118,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_09,2025_06,China,CNY,중국 위안,7.112,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_10,2025_06,China,CNY,중국 위안,7.1135,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_11,2025_06,China,CNY,중국 위안,7.115,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_12,2025_06,China,CNY,중국 위안,7.1165,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_13,2025_06,China,CNY,중국 위안,7.118,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_16,2025_06,China,CNY,중국 위안,7.112,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_17,2025_06,China,CNY,중국 위안,7.1135,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_18,2025_06,China,CNY,중국 위안,7.115,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_19,2025_06,China,CNY,중국 위안,7.1165,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_20,2025_06,China,CNY,중국 위안,7.118,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_23,2025_06,China,CNY,중국 위안,7.112,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_24,2025_06,China,CNY,중국 위안,7.1135,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_25,2025_06,China,CNY,중국 위안,7.115,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_26,2025_06,China,CNY,중국 위안,7.1165,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_27,2025_06,China,CNY,중국 위안,7.118,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_06_30,2025_06,China,CNY,중국 위안,7.112,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_01,2025_07,China,CNY,중국 위안,7.095,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_02,2025_07,China,CNY,중국 위안,7.0965,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_03,2025_07,China,CNY,중국 위안,7.098,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_04,2025_07,China,CNY,중국 위안,7.0995,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_07,2025_07,China,CNY,중국 위안,7.101,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_08,2025_07,China,CNY,중국 위안,7.095,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_09,2025_07,China,CNY,중국 위안,7.0965,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_10,2025_07,China,CNY,중국 위안,7.098,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_11,2025_07,China,CNY,중국 위안,7.0995,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_14,2025_07,China,CNY,중국 위안,7.101,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_15,2025_07,China,CNY,중국 위안,7.095,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_16,2025_07,China,CNY,중국 위안,7.0965,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_17,2025_07,China,CNY,중국 위안,7.098,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_18,2025_07,China,CNY,중국 위안,7.0995,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_21,2025_07,China,CNY,중국 위안,7.101,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_22,2025_07,China,CNY,중국 위안,7.095,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_23,2025_07,China,CNY,중국 위안,7.0965,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_24,2025_07,China,CNY,중국 위안,7.098,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_25,2025_07,China,CNY,중국 위안,7.0995,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_28,2025_07,China,CNY,중국 위안,7.101,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_29,2025_07,China,CNY,중국 위안,7.095,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_30,2025_07,China,CNY,중국 위안,7.0965,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_07_31,2025_07,China,CNY,중국 위안,7.098,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_01,2025_08,China,CNY,중국 위안,7.082,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_04,2025_08,China,CNY,중국 위안,7.0835,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_05,2025_08,China,CNY,중국 위안,7.085,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_06,2025_08,China,CNY,중국 위안,7.0865,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_07,2025_08,China,CNY,중국 위안,7.088,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_08,2025_08,China,CNY,중국 위안,7.082,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_11,2025_08,China,CNY,중국 위안,7.0835,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_12,2025_08,China,CNY,중국 위안,7.085,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_13,2025_08,China,CNY,중국 위안,7.0865,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_14,2025_08,China,CNY,중국 위안,7.088,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_15,2025_08,China,CNY,중국 위안,7.082,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_18,2025_08,China,CNY,중국 위안,7.0835,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_19,2025_08,China,CNY,중국 위안,7.085,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_20,2025_08,China,CNY,중국 위안,7.0865,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_21,2025_08,China,CNY,중국 위안,7.088,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_22,2025_08,China,CNY,중국 위안,7.082,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_25,2025_08,China,CNY,중국 위안,7.0835,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_26,2025_08,China,CNY,중국 위안,7.085,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_27,2025_08,China,CNY,중국 위안,7.0865,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_28,2025_08,China,CNY,중국 위안,7.088,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_08_29,2025_08,China,CNY,중국 위안,7.082,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_01,2025_09,China,CNY,중국 위안,7.062,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_02,2025_09,China,CNY,중국 위안,7.0635,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_03,2025_09,China,CNY,중국 위안,7.065,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_04,2025_09,China,CNY,중국 위안,7.0665,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_05,2025_09,China,CNY,중국 위안,7.068,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_08,2025_09,China,CNY,중국 위안,7.062,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_09,2025_09,China,CNY,중국 위안,7.0635,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_10,2025_09,China,CNY,중국 위안,7.065,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_11,2025_09,China,CNY,중국 위안,7.0665,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_12,2025_09,China,CNY,중국 위안,7.068,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_15,2025_09,China,CNY,중국 위안,7.062,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_16,2025_09,China,CNY,중국 위안,7.0635,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_17,2025_09,China,CNY,중국 위안,7.065,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_18,2025_09,China,CNY,중국 위안,7.0665,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_19,2025_09,China,CNY,중국 위안,7.068,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_22,2025_09,China,CNY,중국 위안,7.062,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_23,2025_09,China,CNY,중국 위안,7.0635,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_24,2025_09,China,CNY,중국 위안,7.065,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_25,2025_09,China,CNY,중국 위안,7.0665,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_26,2025_09,China,CNY,중국 위안,7.068,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_29,2025_09,China,CNY,중국 위안,7.062,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_09_30,2025_09,China,CNY,중국 위안,7.0635,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_01,2025_10,China,CNY,중국 위안,7.039,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_02,2025_10,China,CNY,중국 위안,7.0405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_03,2025_10,China,CNY,중국 위안,7.042,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_06,2025_10,China,CNY,중국 위안,7.0435,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_07,2025_10,China,CNY,중국 위안,7.045,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_08,2025_10,China,CNY,중국 위안,7.039,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_09,2025_10,China,CNY,중국 위안,7.0405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_10,2025_10,China,CNY,중국 위안,7.042,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_13,2025_10,China,CNY,중국 위안,7.0435,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_14,2025_10,China,CNY,중국 위안,7.045,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_15,2025_10,China,CNY,중국 위안,7.039,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_16,2025_10,China,CNY,중국 위안,7.0405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_17,2025_10,China,CNY,중국 위안,7.042,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_20,2025_10,China,CNY,중국 위안,7.0435,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_21,2025_10,China,CNY,중국 위안,7.045,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_22,2025_10,China,CNY,중국 위안,7.039,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_23,2025_10,China,CNY,중국 위안,7.0405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_24,2025_10,China,CNY,중국 위안,7.042,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_27,2025_10,China,CNY,중국 위안,7.0435,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_28,2025_10,China,CNY,중국 위안,7.045,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_29,2025_10,China,CNY,중국 위안,7.039,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_30,2025_10,China,CNY,중국 위안,7.0405,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_10_31,2025_10,China,CNY,중국 위안,7.042,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_03,2025_11,China,CNY,중국 위안,7.022,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_04,2025_11,China,CNY,중국 위안,7.0235,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_05,2025_11,China,CNY,중국 위안,7.025,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_06,2025_11,China,CNY,중국 위안,7.0265,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_07,2025_11,China,CNY,중국 위안,7.028,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_10,2025_11,China,CNY,중국 위안,7.022,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_11,2025_11,China,CNY,중국 위안,7.0235,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_12,2025_11,China,CNY,중국 위안,7.025,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_13,2025_11,China,CNY,중국 위안,7.0265,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_14,2025_11,China,CNY,중국 위안,7.028,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_17,2025_11,China,CNY,중국 위안,7.022,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_18,2025_11,China,CNY,중국 위안,7.0235,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_19,2025_11,China,CNY,중국 위안,7.025,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_20,2025_11,China,CNY,중국 위안,7.0265,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_21,2025_11,China,CNY,중국 위안,7.028,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_24,2025_11,China,CNY,중국 위안,7.022,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_25,2025_11,China,CNY,중국 위안,7.0235,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_26,2025_11,China,CNY,중국 위안,7.025,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_27,2025_11,China,CNY,중국 위안,7.0265,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_11_28,2025_11,China,CNY,중국 위안,7.028,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_12_01,2025_12,China,CNY,중국 위안,6.992,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_12_02,2025_12,China,CNY,중국 위안,6.9935,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_12_03,2025_12,China,CNY,중국 위안,6.995,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_12_04,2025_12,China,CNY,중국 위안,6.9965,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
2025_12_05,2025_12,China,CNY,중국 위안,6.998,Daily,People's Bank of China / CFETS (chinamoney.com.cn)
